"site_id";"bio01_LGM";"bio01_current";"bio01_little_ice_age";"bio01_medieval_warm";"bio01_mid_Holocene";"bio01_other";"bio03_LGM";"bio03_current";"bio03_little_ice_age";"bio03_medieval_warm";"bio03_mid_Holocene";"bio03_other";"bio12_LGM";"bio12_current";"bio12_little_ice_age";"bio12_medieval_warm";"bio12_mid_Holocene";"bio12_other"
"84";"134-c";282.936363636364;287.7;286.98;286.95;286.314285714286;284.917318435754;38.4818181818182;35.1;35.92;35.275;32.2142857142857;34.4324022346369;570.909090909091;414;446.4;447.75;460.095238095238;475
"85";"135-a";282.936363636364;287.7;286.98;286.95;286.314285714286;284.917318435754;38.4818181818182;35.1;35.92;35.275;32.2142857142857;34.4324022346369;570.909090909091;414;446.4;447.75;460.095238095238;475
"86";"135-b";282.936363636364;287.7;286.98;286.95;286.314285714286;284.917318435754;38.4818181818182;35.1;35.92;35.275;32.2142857142857;34.4324022346369;570.909090909091;414;446.4;447.75;460.095238095238;475
"87";"135-c";282.936363636364;287.7;286.98;286.95;286.314285714286;284.917318435754;38.4818181818182;35.1;35.92;35.275;32.2142857142857;34.4324022346369;570.909090909091;414;446.4;447.75;460.095238095238;475
"88";"136-a";282.718181818182;287.9;287.16;287.275;286.533333333333;284.942458100559;36.9454545454545;33.3;33.98;33.45;30.4809523809524;32.6441340782123;750.181818181818;483;528.8;524.75;566.190476190476;605.348314606742
"89";"136-b";282.718181818182;287.9;287.16;287.275;286.533333333333;284.942458100559;36.9454545454545;33.3;33.98;33.45;30.4809523809524;32.6441340782123;750.181818181818;483;528.8;524.75;566.190476190476;605.348314606742
"90";"136-c";282.718181818182;287.9;287.16;287.275;286.533333333333;284.942458100559;36.9454545454545;33.3;33.98;33.45;30.4809523809524;32.6441340782123;750.181818181818;483;528.8;524.75;566.190476190476;605.348314606742
"91";"137-a";282.863636363636;288;287.32;287.375;286.67619047619;285.075977653631;36.8909090909091;33.2;33.94;33.45;30.4285714285714;32.6156424581006;725.272727272727;469;512.2;508;548.095238095238;585.792134831461
"92";"137-b";282.863636363636;288;287.32;287.375;286.67619047619;285.075977653631;36.8909090909091;33.2;33.94;33.45;30.4285714285714;32.6156424581006;725.272727272727;469;512.2;508;548.095238095238;585.792134831461
"93";"137-c";282.863636363636;288;287.32;287.375;286.67619047619;285.075977653631;36.8909090909091;33.2;33.94;33.45;30.4285714285714;32.6156424581006;725.272727272727;469;512.2;508;548.095238095238;585.792134831461
"94";"138-a";283;288.1;287.4;287.475;286.780952380952;285.184916201117;36.8909090909091;33.2;34;33.375;30.4761904761905;32.6296089385475;632.636363636364;424;460.6;457.25;489.714285714286;517.522471910112
"95";"138-b";283;288.1;287.4;287.475;286.780952380952;285.184916201117;36.8909090909091;33.2;34;33.375;30.4761904761905;32.6296089385475;632.636363636364;424;460.6;457.25;489.714285714286;517.522471910112
"96";"138-c";283;288.1;287.4;287.475;286.780952380952;285.184916201117;36.8909090909091;33.2;34;33.375;30.4761904761905;32.6296089385475;632.636363636364;424;460.6;457.25;489.714285714286;517.522471910112
"97";"139-a";285.7;290.2;289.34;289.425;288.790476190476;287.549720670391;37.0272727272727;33.5;32.26;32.575;27.7761904761905;31.4737430167598;494.818181818182;339;373;379;383.666666666667;406.106741573034
"98";"139-b";285.7;290.2;289.34;289.425;288.790476190476;287.549720670391;37.0272727272727;33.5;32.26;32.575;27.7761904761905;31.4737430167598;494.818181818182;339;373;379;383.666666666667;406.106741573034
"99";"139-c";285.7;290.2;289.34;289.425;288.790476190476;287.549720670391;37.0272727272727;33.5;32.26;32.575;27.7761904761905;31.4737430167598;494.818181818182;339;373;379;383.666666666667;406.106741573034
