"Site_ID";"MAP_Interglacial";"MAT_Interglacial";"Isothermality_Interglacial"
"235";"196-a";422.779602050781;162.178802490234;32.4545516967773
"236";"196-b";422.779602050781;162.178802490234;32.4545516967773
"237";"196-c";422.779602050781;162.178802490234;32.4545516967773
"238";"198-a";270.704437255859;93.2214202880859;27.9792022705078
"239";"198-b";270.704437255859;93.2214202880859;27.9792022705078
"240";"198-c";270.704437255859;93.2214202880859;27.9792022705078
"241";"199-a";354.075317382812;73.4829559326172;26
"242";"199-b";354.075317382812;73.4829559326172;26
"243";"199-c";354.075317382812;73.4829559326172;26
"244";"2-a";453.370819091797;67.2205429077148;55.1983642578125
"245";"2-b";453.370819091797;67.2205429077148;55.1983642578125
"246";"2-c";453.370819091797;67.2205429077148;55.1983642578125
"247";"200-a";187.103668212891;120.336067199707;27.2479782104492
"248";"200-b";187.103668212891;120.336067199707;27.2479782104492
"249";"200-c";187.103668212891;120.336067199707;27.2479782104492
"250";"201-a";287.369903564453;94.7434005737305;26.4959888458252
"251";"201-b";287.369903564453;94.7434005737305;26.4959888458252
"252";"201-c";287.369903564453;94.7434005737305;26.4959888458252
"253";"203-a";308.593566894531;74.5763549804688;30.9983978271484
"254";"203-b";308.593566894531;74.5763549804688;30.9983978271484
"255";"203-c";308.593566894531;74.5763549804688;30.9983978271484
"256";"204-a";409.728149414062;60.6736068725586;26.9999980926514
"257";"204-b";409.728149414062;60.6736068725586;26.9999980926514
"258";"204-c";409.728149414062;60.6736068725586;26.9999980926514
"259";"206-a";248.550674438477;106.209381103516;29.0720825195312
"260";"206-b";248.550674438477;106.209381103516;29.0720825195312
"261";"206-c";248.550674438477;106.209381103516;29.0720825195312
"262";"207-a";283.303588867188;177.740295410156;37.0447654724121
"263";"207-b";283.303588867188;177.740295410156;37.0447654724121
"264";"207-c";283.303588867188;177.740295410156;37.0447654724121
"265";"208-a";283.303588867188;177.740295410156;37.0447654724121
"266";"208-b";283.303588867188;177.740295410156;37.0447654724121
"267";"208-c";283.303588867188;177.740295410156;37.0447654724121
"268";"209-a";287.136474609375;176.181137084961;36.9999885559082
"269";"209-b";287.136474609375;176.181137084961;36.9999885559082
"270";"209-c";287.136474609375;176.181137084961;36.9999885559082
"271";"210-a";283.303588867188;177.740295410156;37.0447654724121
"272";"210-b";283.303588867188;177.740295410156;37.0447654724121
"273";"210-c";283.303588867188;177.740295410156;37.0447654724121
"274";"211-a";287.136474609375;176.181137084961;36.9999885559082
"275";"211-b";287.136474609375;176.181137084961;36.9999885559082
"276";"211-c";287.136474609375;176.181137084961;36.9999885559082
"277";"212-a";287.136474609375;176.181137084961;36.9999885559082
"278";"212-b";287.136474609375;176.181137084961;36.9999885559082
"279";"212-c";287.136474609375;176.181137084961;36.9999885559082
"280";"225-a";91.0454025268555;187.74235534668;56.0032005310059
"281";"225-b";91.0454025268555;187.74235534668;56.0032005310059
"282";"225-c";91.0454025268555;187.74235534668;56.0032005310059
"283";"227-a";154.237747192383;185.873748779297;56
